COMMENT_ID,TEXT,IS_TOXIC
KmgLn11x,This is just simply amazing thank u from me and my dog who was hyper but is now asleep now its my turn to close my eyes 🙏💯👌💤💞💞💞,1
QaqsQSUf,Sen Cassidy seems like a used car dealer to me.,0
x1a1yWYU,"This is so relaxing! I’m just starting out, but I’d love to offer my time and just listen if anyone wants to talk.",1
74wdLJRR,"So many other countries with per capita GDP like the USA’s,  or lower than the USA’s, provide national health care for all. The USA doesn’t need to reinvent the wheel as there are plenty of existing, proven systems out there that can be adopted. 

Why can’t the USA do the same as their peers? Are the USA that cruel, stupid and greedy?",0
DXuTgaAm,Exactly. Jake didn't point that out.,0
87Y6jFlD,If you’re a parent and you’re more concerned about your child developing autism from a vaccine than you are your child dying from a preventable disease- your children need to be removed from your care immediately.,0
vksJ7gx7,I am here in Brazil,1
VjhMVpLb,3:42,1
mwBgp8YD,"Public universal healthcare,and those on the fringe who don't take meds, blood transfusion,vaccines-let them and in ten twenty years roll out data that reflects higher mortality and illness for this fringe pop. The only way out is to go through.",0
MtE4dhYT,CNN these days are nothing but a bunch of whiney democrats who cry about anything...who watches this anyways..😂😂,0
WSCft7Wo,"That’s a beautifully soothing piece  your choice to share the Flying: Relaxing Sleep Music track really sets such a calm, peaceful vibe. 🎶 It’s clear you’ve got an eye for content that helps people relax and recharge. Keep it up  you’re doing amazing!",1
5qwY1IS8,What a lot of bs. What a coward. He's a weak man. Vote him out. He's an embarrassment to doctors. Weak coward.,0
sfejScIe,There is absolutely no such thing as scientific consensus. That is the opposite of science. Do some open minded research on the history of vaccines and the crap that's in them now compared to 60 years ago and so much more.,0
91VRrrHw,This is the one I use every night now😂,1
zYH09BMR,It's 2025 and is anyone still here?,1
NomEViRJ,1:16:59,1
