text,eticheta
Dobranoc z polski,0
Asterisk??? Very few people even know what that asterisk means!!!,1
Anyone here November 2025?,0
Just 5 minute long video on my channel has better music then this which stop overthinking and reduce stress 😉,0
Harika ve ilham aldığım bir kanal 🎉,0
Why do babys in America have hep c vaccination = MONEY,1
My mother is in ICU right now and I'm playing this to calm her spirit.,0
Ģhjvh,0
Hi,0
Gaiza am crying 😢😢😢 l need a hug 🥹🥹🥹🥹😩😩,0
Wow,0
"This is such a vibe! The music, visuals, and mood all come together so beautifully  really touched me. 🙌✨",0
Great insights here.,0
"This video is pure magic  the music really touches the soul, and the mood you’ve created is so peaceful and inspiring. Loved every second!",0
You speak as a physician but you need to speak as a senator.,1
This music relieved my stress today after a horrible day thank you. If you are reading this just know you are loved and cared for and you have a loving family.,0
Lol 1000 or 2000 if you are someone that gets regular care thats nothing,1
Im here every day ✌️,0
Any student is here ?,0
"You confirmed him, Dumbass 
The Republican Party is dead.",1
Cassidy can kiss my entire butt because he didn't chin checked them and is still trying to stay in good graces with the #OrangefacedBastard! Orangeface thinks vaccines are a joke!,1
He picked party over country and his oath as a doctor. He has no accountability whatsoever.,1
This idiot is a doctor?😅he speaks like a bad administrator who repeats the words of hire ups,1
❤from🇵🇰stay strong,0
Лека нощ мило,0
🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢,0
"Thanks bro appreciate those optimistic thoughts, I must say that you live as happily as you want and make your darkness vanish by the light of hope  and become successfull",0
This is just simply amazing thank u from me and my dog who was hyper but is now asleep now its my turn to close my eyes 🙏💯👌💤💞💞💞,0
Rfk jr.is a disgrace to the Kennedy name,1
JFK Jr. Is a hack.,1
Did the vote yes for the BBB? So who really cares about Americans health care 😂,1
"Spreading the word search Candance Owens tt page her latest post has been shadowed banned and stated this:

Two days ago, I was contacted by a high-ranking employee of the French Government. After determining this person’s position and proximity to the French couple, I have deemed this information credible enough to share publicly in the vent that something happens. 
In short, this person claims that the Macrons have executed upon and paid for my assassination. Yes, you read that correctly. More specifically, that the green light was give to a small team in the National Gendamarine Intervention Group. I am told there is one Israeli that is on this assassination squad and the plans were formalised.
Again, this person provided concrete proof that they are well placed within the French Government apparatus.
Further to this point, this person claims Charlie Kirk’s assassin trained with the French Legion 13th brigade with multi-state involvement.
Journalist Xavier Poussard’s life is also at risk. This is deadly serious. The heard of state of France apparently wants us both dead and has authorised professional units to carry this out.
I ask every person to RETWEET and share this.
I do not know who in the American government can be trusted, since this source claims our leaders are aware. But I have more specific information which is definitely verifiable, should they care to reach out to me.
To the brave official in France who did this because they were so moved by the evil of Charlie’s public execution to risk their own life – May God bless you. Truly.",1
"You Yanks have absolutely no idea what you are dealing with. 
It,s not so much the wizards of my upper classes, it is the witches we are concerned about. These liberal white witches are seriously evil and twisted. 
We working-class Brits have and want nothing to do with them.
 It is now common knowledge that the Fabian Society runs the US Democrat Party.
 It is also common knowledge that the Imperial British Empire has run the USA for over a 100 years give or take. 
So what is the story with our King then ? Why is he such a wet blanket or limp biscuit ? 
Well unless he does something extraordinary or grows a pair we want him gone. 
Defender of the Faith ?   Give me a break.
 Now here is where we are right now in Britain and the USA. Both countries have a problem with the southern border.
 In Britain the native population sits at 46 Million people. The official census last year counted 70 Million. ( some say 67, others say, 68/69 ) Even counting a population is a problem in broken Britain. 
But here is the Kicker !! 
The Supermarkets and sewage farms say that there are 96 Million people living in Britain. Yet !! The King sits and watches this country go to the dogs.
 Never has a Monarch behaved this way since the Magna Carta.",1
🎉,0
"Cassidy, take accountability for the decision you made to confirm RFK Jr. Shame on you.",1
"guys look, today may have been the day you were expecting, or maybe it was, but just know that tomorrow will lead to a better life. cheers from puerto rico 2025",0
I dont sleep at 3:00 😢,0
He didn’t lie - studies are still being done! Shane on you all for not doing science!!!,1
"Bring back Rachel Levine 
Bwahahahaha 
How embarrassing for democrats",1
Absolutely disgusting. Shame Shame Shame on Bill Cassidy. I will never understand this behavior. Boy Bye,1
So why not ask to have Kennedy removed. He took an oath to save lives.,1
RFK Jr is only in this job because of the republican senators approving him when they KNEW! he was not qualified. Vote out all the ones running in 2026. They have caused great damage to the country with their cowardice!,1
"I am having panic attacks and i am listening to this and reading the comments!!
I feel a bit okay",0
So safe that u people have to constantly advertise it.... If it was safe u wouldn't have to. U would have loads of people lining up to your shitty poison,1
Wow  hoe dan🤷‍♂️❓️🤫,0
"6:02 Is it ""He said/She said"" or is it more like Doctor, what is your medical opinion? Is it good or bad?",1
"What a lying SOB.   Under Biden, subsidies were increases due to COVID and increased medical costs.   Having a ""savings account"" for health that is basically a tax shelter won't cover the lost coverage and only benefits people WITH lots of disposable income.",1
I hate the piano part,0
If vaccines are safe then why do vaccine manufacturers need immunity from liability?,1
Support Dr Cassidy!,1
🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊,0
People who go to sleep quick with this,0
"I'm not married to the ACA, but these knuckleheads had over a decade to come up with a sensible alternative and they haven't done jack squat and now they're scrambling 5 weeks before subsidies expire to try and cobble together something.  They say they want this or they want that, but their voting records show all they want is to dismantle what's already there and bring us back to the days of pre-existing conditions and high risk insurance pools.  The bottom line is that America functions better when more people have access to affordable healthcare and unaffordable health insurance is just going to lead to more people dropping their insurance which raises costs for the rest of us, more sick people on the streets and spreading it to others, and uninsured people not getting healthcare and potentially unnecessarily dying.",1
He voted for him for trump he knew he was unfit children lives in danger cutting cancer  research my sister died of cancer this administration is a joke,1
Thanks Jake for pushing him to answer a question like a toddler tries to push over a stuff bunny rabbit.,1
The best is yet to come ❤,0
Can I have a hug?,0
See they never apologize for their ignorance or should I say intentional ignorance.,1
enter here to find your peace,0
My sister is causing all my stress and dark thoughts so I hope she goes,0
"As a physician, he understood the danger RFK represented.  A few thousand in a health savings account will not pay the premiums.  What an effing coward!",1
